City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,egilsstadir,65.2653,-14.3948,44.51,81,75,2.3,IS,1691635270
172,kenitra,34.261,-6.5802,72.36,90,1,0.54,MA,1691635270
173,ohara,35.25,140.3833,83.84,71,74,9.46,JP,1691635270
174,kulhudhuffushi,6.6221,73.07,82.15,78,100,16.08,MV,1691635270
175,kolobrzeg,54.1757,15.5834,56.35,82,99,15.5,PL,1691635270
176,azadshahr,34.7909,48.5707,57.69,51,0,2.3,IR,1691635270
177,vinukonda,16.05,79.75,85.84,61,99,3.65,IN,1691635270
178,margaret river,-33.95,115.0667,53.44,79,100,4.45,AU,1691635208
179,severo-yeniseyskiy,60.3725,93.0408,63.91,55,28,7.45,RU,1691635270
180,quellon,-43.1167,-73.6167,50.25,93,100,16.11,CL,1691635210
181,georgetown,5.4112,100.3354,80.53,87,40,3.44,MY,1691635271
182,chonchi,-42.6128,-73.8092,47.41,94,97,8.43,CL,1691634922
183,al hazm,16.1641,44.7769,81.14,32,34,4.97,YE,1691635271
184,inhambane,-23.865,35.3833,66.58,71,15,10.58,MZ,1691635271
185,ola,59.5833,151.2833,71.15,54,10,8.77,RU,1691635271
186,eyl,7.9803,49.8164,77.27,69,76,21.32,SO,1691635271
187,kabompo,-13.5927,24.2008,56.86,39,1,7.4,ZM,1691635271
188,punta arenas,-53.15,-70.9167,39.11,93,100,7.96,CL,1691635217
189,tura,25.5198,90.2201,79.07,91,100,3.15,IN,1691635271
190,praia da vitoria,38.7333,-27.0667,71.85,94,40,6.15,PT,1691635026
191,craig,40.5153,-107.5464,73.02,28,0,3.44,US,1691635060
192,east london,-33.0153,27.9116,61.2,81,4,17.13,ZA,1691635207
193,ulsteinvik,62.3432,5.8487,54.75,94,100,7.0,NO,1691635272
194,ploudalmezeau,48.5333,-4.65,66.72,100,70,5.75,FR,1691635272
195,kegen,43.0197,79.2203,71.51,32,0,5.23,KZ,1691635272
196,sterling,39.0062,-77.4286,78.22,75,75,3.44,US,1691635129
197,onega,63.9061,38.1404,60.35,84,0,7.02,RU,1691635272
198,prince george,53.9166,-122.753,67.24,62,100,9.22,CA,1691635180
